Guix on the Framework 13 AMD,ingve,83,44,https://wingolog.org/archives/2024/02/16/guix-on-the-framework-13-amd
Data Structures as Topological Spaces (2002) [pdf],cpp_frog,24,5,http://mgs.spatial-computing.org/PUBLICATIONS/umc02.pdf
Kagi Changelog 2/13: Faster and more accurate instant answers and Wikipedia page,goplayoutside,184,106,https://kagi.com/changelog#3179
Magika: AI powered fast and efficient file type identification,alphabetting,445,132,https://opensource.googleblog.com/2024/02/magika-ai-powered-fast-and-efficient-file-type-identification.html
Sora: Creating video from text,davidbarker,3180,1860,https://openai.com/sora
"Think Python, 3rd Edition",beefman,249,41,https://allendowney.github.io/ThinkPython/
Satya Nadella uses an IBM AS/400 in 1993,klelatti,108,54,https://thechipletter.substack.com/p/satya-nadella-uses-an-ibm-as400-in
Happy Birthday Lemmings,Timothee,361,107,https://scottishgames.net/2024/02/14/it-was-33-years-ago-today-happy-birthday-lemmings/
Nvidia GeForce RTX 2080 Ti with 22GB Memory Appears on eBay for USD500,teleforce,53,29,https://www.tomshardware.com/pc-components/gpus/chinese-workshops-recondition-nvidias-old-flagship-gaming-gpu-for-ai-rtx-2080-ti-upgraded-to-22gb-for-dollar499
German credit agency earns millions through unlawful customer manipulation,latexr,122,72,https://noyb.eu/en/german-credit-agency-earns-millions-through-unlawful-customer-manipulation
Trading Trust,ingve,37,21,https://seths.blog/2024/02/trading-trust/
A Fuss Budget (1885),beardyw,15,2,https://www.futilitycloset.com/2024/02/14/a-fuss-budget/
Firefly III: A free and open source personal finance manager,thunderbong,137,69,https://www.firefly-iii.org/
Our next-generation model: Gemini 1.5,todsacerdoti,1137,532,https://blog.google/technology/ai/google-gemini-next-generation-model-february-2024/
Orgzly Revived: a community-maintained version of Orgzly,vpt,86,43,https://github.com/orgzly-revived/orgzly-android-revived
EFF's (Extended) Guide to the Internet circa 1994,todsacerdoti,37,4,https://www.whitman.edu/mathematics/eegtti/eeg_toc.html
Launch HN: Zenfetch (YC W23) – Turn notes/browser history into an AI assistant,rex123,104,57,item?id=39385635
Video generation models as world simulators,linksbro,279,112,https://openai.com/research/video-generation-models-as-world-simulators
Forgetting the history of Unix is coding us into a corner,lproven,7,1,https://www.theregister.com/2024/02/16/what_is_unix/
Forgejo forks its own path forward,todsacerdoti,40,18,https://forgejo.org/2024-02-forking-forward/
The existence of a new kind of magnet has been confirmed,revicon,263,72,https://www.newscientist.com/article/2417255-the-existence-of-a-new-kind-of-magnetism-has-been-confirmed/
Alexei Navalny has died – authorities,0xdeafbeef,502,354,https://www.reuters.com/world/europe/jailed-russian-opposition-leader-navalny-dead-prison-service-2024-02-16/
Linux/ELF .eh_frame from the bottom up,ingve,81,9,https://www.corsix.org/content/elf-eh-frame
